y,left_boundary,right_boundary,width,center
245,204,310,107,257.0
246,204,310,107,257.0
247,204,310,107,257.0
248,204,310,107,257.0
249,204,310,107,257.0
250,204,310,107,257.0
251,204,310,107,257.0
252,204,310,107,257.0
253,204,310,107,257.0
254,204,310,107,257.0
255,204,310,107,257.0
256,204,310,107,257.0
257,199,313,115,256.0
258,199,313,115,256.0
259,199,313,115,256.0
260,199,313,115,256.0
261,199,313,115,256.0
262,198,313,116,255.5
263,198,314,117,256.0
264,198,314,117,256.0
265,198,314,117,256.0
266,197,314,118,255.5
267,197,315,119,256.0
268,197,315,119,256.0
269,197,315,119,256.0
270,197,315,119,256.0
271,197,316,120,256.5
272,197,316,120,256.5
273,197,316,120,256.5
274,197,316,120,256.5
275,197,317,121,257.0
276,197,317,121,257.0
277,197,317,121,257.0
278,197,317,121,257.0
279,197,318,122,257.5
280,197,318,122,257.5
281,197,318,122,257.5
282,197,318,122,257.5
283,196,319,124,257.5
284,196,319,124,257.5
285,195,319,125,257.0
286,194,319,126,256.5
287,192,319,128,255.5
288,192,319,128,255.5
289,192,320,129,256.0
290,191,320,130,255.5
291,191,321,131,256.0
292,191,321,131,256.0
293,191,321,131,256.0
294,191,321,131,256.0
295,191,322,132,256.5
296,191,322,132,256.5
297,191,322,132,256.5
298,191,322,132,256.5
299,191,323,133,257.0
300,192,323,132,257.5
301,192,323,132,257.5
302,192,322,131,257.0
303,194,321,128,257.5
304,195,321,127,258.0
305,196,320,125,258.0
306,196,320,125,258.0
307,197,319,123,258.0
308,197,319,123,258.0
309,197,318,122,257.5
310,197,317,121,257.0
311,198,317,120,257.5
312,198,316,119,257.0
313,198,316,119,257.0
314,198,316,119,257.0
315,197,317,121,257.0
316,197,317,121,257.0
317,196,318,123,257.0
318,193,321,129,257.0
319,191,323,133,257.0
320,189,323,135,256.0
321,189,323,135,256.0
322,189,323,135,256.0
323,189,323,135,256.0
324,189,323,135,256.0
325,189,322,134,255.5
326,190,322,133,256.0
327,191,322,132,256.5
328,192,322,131,257.0
329,192,321,130,256.5
330,193,320,128,256.5
331,193,320,128,256.5
332,194,318,125,256.0
333,195,317,123,256.0
334,195,317,123,256.0
335,196,316,121,256.0
336,196,316,121,256.0
337,196,316,121,256.0
338,196,316,121,256.0
339,197,316,120,256.5
340,198,315,118,256.5
341,199,315,117,257.0
342,199,315,117,257.0
343,200,315,116,257.5
344,201,315,115,258.0
345,202,315,114,258.5
346,202,314,113,258.0
347,203,314,112,258.5
348,203,314,112,258.5
349,204,313,110,258.5
350,205,313,109,259.0
351,205,313,109,259.0
352,207,313,107,260.0
353,208,313,106,260.5
354,209,312,104,260.5
355,210,311,102,260.5
356,210,309,100,259.5
357,211,308,98,259.5
358,211,307,97,259.0
359,211,307,97,259.0
360,211,306,96,258.5
361,212,306,95,259.0
362,212,306,95,259.0
363,212,305,94,258.5
364,212,305,94,258.5
365,212,305,94,258.5
366,212,305,94,258.5
367,212,305,94,258.5
368,212,304,93,258.0
369,212,304,93,258.0
370,212,304,93,258.0
371,212,304,93,258.0
372,212,303,92,257.5
373,212,303,92,257.5
374,212,303,92,257.5
375,212,303,92,257.5
376,212,303,92,257.5
